fips,total_cases,fips,total_death
13121,14644088,13121,236576
13123,463230,13123,10001
13125,36224,13125,1797
13127,1405527,13127,32225
13129,1174677,13129,18566
13131,353773,13131,9239
13133,277430,13133,9234
13135,15061109,13135,176761
13137,878617,13137,28046
13139,4576532,13139,69933
13141,175758,13141,14765
13143,387729,13143,10026
13145,399700,13145,9165
13147,339958,13147,7709
13149,130826,13149,2883
13151,3383524,13151,45824
13153,2021054,13153,37908
13155,152924,13155,3961
13157,1351663,13157,19801
13159,193604,13159,3843
13161,316264,13161,8122
13163,332386,13163,10430
13165,156428,13165,9486
13167,190416,13167,8338
13169,297152,13169,6428
13171,282819,13171,8517
13173,136208,13173,2576
13175,892263,13175,28150
13177,434862,13177,11922
13179,534550,13179,8655
13181,117693,13181,3514
13183,126216,13183,1711
13185,2069617,13185,34147
13187,456884,13187,8146
13189,354582,13189,7249
13191,129468,13191,2618
13193,133904,13193,5043
13195,454958,13195,6843
13197,92684,13197,3034
13199,302478,13199,8040
13201,134602,13201,1194
13205,382826,13205,18658
13207,391637,13207,18304
13209,144899,13209,3087
13211,303173,13211,2644
13213,672094,13213,9133
13215,2638759,13215,64668
13217,1517160,13217,34905
13219,551026,13219,11287
13221,218577,13221,4873
13223,2123266,13223,28868
13225,385276,13225,9108
13227,452924,13227,8325
13229,394724,13229,8828
13231,303885,13231,5401
13233,839276,13233,11787
13235,148934,13235,7035
13237,343714,13237,9786
13239,25589,13239,394
13241,240266,13241,5874
13243,135015,13243,10226
13245,3694087,13245,73288
13247,1064023,13247,21906
13249,55860,13249,738
13251,162015,13251,4515
13253,162095,13253,3428
13255,892057,13255,28538
13257,520095,13257,13540
13259,176995,13259,4533
13261,474833,13261,24274
13263,81847,13263,2776
13265,16133,13265,154
13267,376776,13267,8268
13269,122972,13269,4079
13271,212812,13271,8871
13273,160839,13273,12052
13275,737613,13275,24909
13277,862884,13277,23435
13279,570924,13279,17916
13281,182449,13281,7530
13283,132094,13283,3879
13285,1321537,13285,37806
13287,171856,13287,8227
13289,103060,13289,5242
13291,345552,13291,10452
13293,543400,13293,25516
13295,991278,13295,14471
13297,1393943,13297,32347
13299,829173,13299,25427
13301,78903,13301,2176
13303,354980,13303,9654
13305,549659,13305,12661
13307,23750,13307,821
13309,117139,13309,4363
13311,479223,13311,10632
13313,2665751,13313,33097
13315,141948,13315,9780
13317,161277,13317,3203
13319,156406,13319,5666
13321,302170,13321,13134
15001,412095,15001,8682
15003,4204349,15003,56744
15005,130,15005,0
15007,35055,15007,145
15009,406977,15009,5932
16001,7991143,16001,76035
16003,45740,16003,613
16005,1232521,16005,12447
16007,52525,16007,340
16009,93652,16009,1175
16011,713326,16011,9507
16013,425842,16013,3380
16015,48989,16015,470
16017,404880,16017,3814
16019,2057403,16019,21348
16021,112804,16021,1340
16023,32091,16023,107
16025,12285,16025,0
16027,4400262,16027,47378
16029,104462,16029,1839
16031,519391,16031,4181
16033,11308,16033,0
16035,142967,16035,1339
16037,39233,16037,423
16039,270142,16039,2167
16041,173195,16041,1865
16043,171853,16043,2296
16045,267759,16045,4096
16047,226253,16047,3152
16049,186338,16049,2370
16051,414197,16051,2961
16053,466435,16053,3915
16055,2521164,16055,26768
16057,431397,16057,911
16059,88194,16059,1395
16061,56360,16061,1035
16063,86048,16063,1600
16065,1014600,16065,2975
16067,426487,16067,4611
16069,543642,16069,11518
16071,46832,16071,385
16073,182577,16073,3715
16075,433290,16075,5023
16077,117190,16077,1083
16079,159142,16079,6060
16081,162950,16081,579
16083,1625888,16083,24363
16085,107712,16085,775
16087,208084,16087,3342
17001,1236490,17001,18653
17003,70303,17003,1206
17005,291079,17005,4291
17007,1014875,17007,15247
17009,93489,17009,1588
17011,528942,17011,13125
17013,69930,17013,567
17015,250794,17015,5950
17017,304415,17017,6000
17019,2972486,17019,20165
17021,506355,17021,13469
17023,240778,17023,5502
17025,216094,17025,6380
17027,898944,17027,17090
17029,879109,17029,17139
17031,89928169,17031,2314874
17033,308719,17033,5231
17035,183597,17035,4495
17037,1386884,17037,19793
17039,183695,17039,4238
17041,365653,17041,5571
17043,13286679,17043,273979
17045,227991,17045,7703
17047,75349,17047,1362
17049,713848,17049,10230
17051,466661,17051,9042
17053,224101,17053,7754
17055,619655,17055,10181
17057,424206,17057,6524
17059,65818,17059,871
17061,211621,17061,7183
17063,771115,17063,9140
17065,112573,17065,2213
17067,250106,17067,5241
17069,47554,17069,1291
17071,76565,17071,2273
17073,679561,17073,10908
17075,440127,17075,10531
17077,782648,17077,13572
17079,176929,17079,4077
17081,594164,17081,20655
17083,373107,17083,9480
17085,264379,17085,4116
17087,202642,17087,2296
17089,9092700,17089,159709
17091,2183348,17091,40164
17093,1834315,17093,17292
17095,772788,17095,21643
17097,10893682,17097,221516
17099,1661171,17099,43287
17101,331754,17101,4599
17103,522957,17103,11046
17105,606841,17105,11631
17107,497701,17107,8396
17109,386700,17109,10370
17111,4018986,17111,59148
17113,2336531,17113,26773
17115,1554260,17115,33565
17117,637597,17117,13860
17119,4361115,17119,88998
17121,655281,17121,16637
17123,120107,17123,2179
17125,194179,17125,5989
17127,173438,17127,4562
17129,150345,17129,1450
17131,196241,17131,4650
17133,621423,17133,14449
