fips,total_cases,fips,total_death
13195,328448,13195,4698
13197,70885,13197,2302
13199,225619,13199,5052
13201,101680,13201,703
13205,302522,13205,15540
13207,289496,13207,14398
13209,110159,13209,2217
13211,217241,13211,1617
13213,484043,13213,5996
13215,2023036,13215,48093
13217,1103549,13217,26053
13219,395989,13219,8596
13221,160754,13221,3744
13223,1493173,13223,20847
13225,283874,13225,6963
13227,321507,13227,5380
13229,299572,13229,6640
13231,217636,13231,3966
13233,619778,13233,8315
13235,112534,13235,5360
13237,259174,13237,7644
13239,19153,13239,329
13241,175083,13241,4016
13243,110279,13243,8906
13245,2752435,13245,54540
13247,777297,13247,15418
13249,42301,13249,568
13251,124384,13251,3414
13253,125078,13253,2708
13255,655138,13255,21425
13257,397657,13257,10475
13259,141875,13259,3634
13261,374591,13261,20385
13263,63242,13263,2092
13265,11315,13265,36
13267,286131,13267,5761
13269,91615,13269,3098
13271,162141,13271,6680
13273,129431,13273,10273
13275,565114,13275,20123
13277,671448,13277,18518
13279,438919,13279,13623
13281,135582,13281,5382
13283,98565,13283,2895
13285,1031432,13285,29376
13287,132431,13287,6864
13289,75168,13289,3617
13291,259803,13291,7746
13293,409449,13293,20638
13295,708577,13295,11148
13297,983055,13297,22614
13299,639242,13299,18944
13301,58401,13301,1558
13303,270768,13303,6505
13305,411945,13305,9390
13307,18153,13307,661
13309,92395,13309,3411
13311,354223,13311,7586
13313,2008985,13313,23719
13315,109256,13315,7923
13317,118820,13317,2224
13319,119812,13319,4593
13321,233055,13321,10517
15001,311910,15001,6562
15003,3266101,15003,42156
15005,90,15005,0
15007,27272,15007,105
15009,264130,15009,4345
16001,6027106,16001,58111
16003,32351,16003,453
16005,898312,16005,8472
16007,37758,16007,260
16009,67767,16009,824
16011,527575,16011,6776
16013,335477,16013,2689
16015,35996,16015,390
16017,280972,16017,2295
16019,1501013,16019,15007
16021,79146,16021,940
16023,23951,16023,67
16025,9450,16025,0
16027,3378863,16027,35906
16029,78357,16029,1359
16031,403393,16031,3162
16033,9033,16033,0
16035,101995,16035,845
16037,29627,16037,303
16039,199703,16039,1635
16041,127363,16041,1231
16043,128643,16043,1736
16045,198723,16045,2706
16047,174902,16047,2232
16049,138581,16049,1676
16051,302993,16051,2073
16053,364989,16053,3007
16055,1833765,16055,18992
16057,314555,16057,569
16059,67583,16059,1035
16061,40998,16061,701
16063,66345,16063,1160
16065,740992,16065,2066
16067,334110,16067,3343
16069,404767,16069,9377
16071,33101,16071,231
16073,141116,16073,2654
16075,335473,16075,3684
16077,91033,16077,723
16079,117407,16079,4725
16081,116862,16081,419
16083,1259621,16083,19305
16085,74814,16085,508
16087,160216,16087,2502
17001,912745,17001,12878
17003,52018,17003,805
17005,213573,17005,3091
17007,769909,17007,11934
17009,66309,17009,1108
17011,391776,17011,9459
17013,49941,17013,367
17015,185313,17015,4505
17017,227573,17017,4683
17019,2211795,17019,14459
17021,369755,17021,9905
17023,171905,17023,3904
17025,157838,17025,4496
17027,672587,17027,13154
17029,662750,17029,13317
17031,69996153,17031,1906686
17033,226590,17033,3621
17035,133364,17035,3263
17037,1031619,17037,14929
17039,130628,17039,3047
17041,264924,17041,3956
17043,10009499,17043,221416
17045,162842,17045,5343
17047,53741,17047,845
17049,530795,17049,6986
17051,342845,17051,6763
17053,158263,17053,5594
17055,449497,17055,6964
17057,293273,17057,4235
17059,47861,17059,671
17061,155430,17061,5383
17063,554366,17063,6219
17065,80359,17065,1493
17067,182128,17067,3641
17069,33176,17069,811
17071,55981,17071,1353
17073,499030,17073,7361
17075,326429,17075,7925
17077,593169,17077,10647
17079,131802,17079,3317
17081,431340,17081,15892
17083,270814,17083,6804
17085,197210,17085,3091
17087,147756,17087,1529
17089,6970889,17089,127966
17091,1662599,17091,32127
17093,1349756,17093,13368
17095,567449,17095,15016
17097,8402149,17097,180624
17099,1209231,17099,32050
17101,237104,17101,3267
17103,375508,17103,7611
17105,430203,17105,7941
17107,359260,17107,5694
17109,289384,17109,8220
17111,2992807,17111,47232
17113,1710174,17113,18727
17115,1159029,17115,25652
17117,457938,17117,9476
17119,3196315,17119,66193
17121,481402,17121,11855
17123,83411,17123,1447
17125,140368,17125,4309
17127,121212,17127,2953
17129,105417,17129,919
17131,143502,17131,3330
17133,453306,17133,10866
17135,329144,17135,6074
17137,432816,17137,11601
17139,173485,17139,3019
17141,588445,17141,8235
17143,1962053,17143,31974
17145,298317,17145,7163
17147,142983,17147,1509
17149,182798,17149,5028
17151,26746,17151,301
17153,89111,17153,469
17155,44089,17155,198
17157,507608,17157,8140
17159,171686,17159,4952
17161,1697978,17161,40205
17163,3465128,17163,76018
17165,245246,17165,5800
17167,1889885,17167,30878
17169,68752,17169,1381
17171,48081,17171,88
17173,253506,17173,4552
17175,55970,17175,1989
17177,474465,17177,8731
17179,1426843,17179,27213
17181,277460,17181,7503
17183,863301,17183,11938
17185,135871,17185,1696
17187,217424,17187,4575
17189,166388,17189,2359
17191,187303,17191,5570
17193,155399,17193,2988
17195,698413,17195,22137
17197,8308539,17197,161511
17199,778562,17199,16723
17201,3765144,17201,67723
17203,383179,17203,7439
18001,345944,18001,4902
18003,4217175,18003,91871
18005,839331,18005,22301
18007,97158,18007,942
18009,129197,18009,2980
18011,687925,18011,17706
18013,99236,18013,2934
18015,194868,18015,3245
18017,873969,18017,9400
18019,1344787,18019,26787
18021,262649,18021,4780
18023,463028,18023,6669
18025,89941,18025,1299
18027,352372,18027,13409
18029,572576,18029,10857
18031,334544,18031,16460
18033,416629,18033,8358
18035,1162087,18035,27098
18037,668818,18037,10358
18039,3581362,18039,55535
18041,346219,18041,7506
18043,817772,18043,24305
18045,201360,18045,3430
18047,194635,18047,7240
18049,199220,18049,3734
18051,432840,18051,7500
18053,801852,18053,19172
18055,296243,18055,14550
18057,3517387,18057,57512
18059,782152,18059,18898
18061,417857,18061,9831
18063,1811155,18063,52877
18065,613024,18065,11082
18067,983415,18067,26825
18069,327763,18069,5988
18071,564341,18071,7160
18073,347355,18073,4222
18075,203923,18075,2950
18077,293873,18077,5349
18079,245217,18079,6318
18081,1842144,18081,57448
18083,399571,18083,6155
18085,998339,18085,11742
18087,336529,18087,8175
18089,6290841,18089,136299
18091,1118481,18091,24173
18093,466463,18093,14994
18095,1319661,18095,43187
18097,11718944,18097,301490
18099,670526,18099,12108
18101,89103,18101,1280
18103,390128,18103,5004
18105,1220555,18105,18767
18107,413827,18107,10179
18109,633348,18109,17305
18111,123485,18111,4989
18113,611748,18113,13026
18115,58598,18115,1679
18117,196104,18117,9453
18119,180457,18119,4170
18121,149746,18121,1359
18123,193574,18123,5307
18125,134400,18125,3670
18127,1819856,18127,28572
18129,284353,18129,3242
18131,113953,18131,3944
18133,363532,18133,7074
18135,262263,18135,6379
18137,343365,18137,6382
18139,178883,18139,2470
18141,3733247,18141,63341
18143,282386,18143,6401
18145,681875,18145,16836
18147,217691,18147,2607
18149,216474,18149,6054
18151,363122,18151,5010
18153,230362,18153,4363
18155,73848,18155,631
18157,2112366,18157,15374
18159,156997,18159,6711
18161,76638,18161,589
18163,2374366,18163,32246
18165,160995,18165,3266
18167,1307461,18167,23269
